R,G,B
69.44114494,67.07107633,63.98274014
69.51447256,67.25868353,64.49453259
69.73595626,67.42270583,64.46001286
70.01597341,67.62918096,64.55328045
70.13850772,67.81453688,64.62307033
70.14504717,68.05735420,64.75611063
70.30553173,68.26393654,65.00728988
70.38336192,68.49571184,64.98820755
70.46987564,68.72845197,65.16884648
70.59165952,68.96730274,65.33072470
70.68921527,69.22051887,65.37081904
70.78430532,69.45947684,65.57418525
70.90008576,69.68353345,65.68053173
71.00943396,69.90137221,65.80510292
71.14440395,70.16691681,65.96065609
71.19596913,70.34026587,65.99120926
71.28366209,70.55102916,66.07375643
71.44050172,70.83329760,66.34273156
71.48542024,71.02165523,66.39729846
71.55917667,71.24120926,66.58426244
71.12328473,70.69768439,66.07011149
70.44135935,69.51125643,65.38711407
70.06839623,68.61470840,64.94532590
69.98595626,68.37103345,64.81721698
69.82997427,68.09026587,64.72362779
69.62692967,67.70904803,64.51114923
69.50814751,67.38786449,64.35891938
69.53998714,67.40769726,64.42806604
69.83265437,67.83265437,64.68514151
69.87939537,67.96430103,64.72437822
69.85806175,67.93760720,64.66916810
69.37875214,67.52262007,64.17334906
69.50439537,67.69414666,64.23016724
69.64022298,67.88143225,64.38850772
69.70701115,68.03977273,64.48531304
69.88754288,68.32279160,64.59037307
69.98520583,68.51050600,64.68717839
70.02594340,68.67452830,64.76307890
70.14987136,68.84927101,64.90694683
70.19907804,69.01790309,64.95851201
70.31485849,69.22459262,65.05306604
70.36674528,69.37510720,65.15255146
70.49163808,69.60077187,65.25536021
70.52133362,69.76554460,65.36781732
70.65855489,70.00010720,65.49689108
70.68685678,70.16756003,65.61953259
70.75385935,70.35398799,65.63636364
70.86449400,70.55724700,65.79052316
70.91144940,70.71226415,65.85420240
71.00568182,70.90448113,65.98038165
71.00439537,71.03569897,66.04084477
70.46526587,70.27873070,65.50686106
69.82847341,69.02315609,64.77165523
69.43514151,68.14504717,64.36331475
69.36138508,67.82665094,64.19929245
69.20518868,67.44639794,64.03945111
68.98584906,67.00085763,63.85184391
68.82397084,66.69875643,63.72512864
68.97555746,66.83747856,63.78473413
69.18964408,67.13754288,64.03419811
69.11610206,67.12339194,63.96880360
69.10195111,67.08822899,63.94286021
69.11020583,67.06582333,63.90737564
69.25375214,67.27004717,64.05713979
69.40823328,67.47491424,64.20604631
69.51243568,67.65673242,64.26586621
69.62982419,67.83479846,64.38454117
69.65651801,67.99378216,64.41273585
69.77594340,68.14858491,64.54909949
69.84927101,68.29909949,64.65887650
69.93867925,68.48456261,64.74421098
70.01672384,68.63078902,64.83233276
70.07997427,68.77594340,64.86921098
70.21226415,69.02422813,65.01886792
70.31346484,69.23198971,65.16230703
70.39108062,69.38228988,65.26951115
70.36202830,69.40683962,65.19671955
69.70990566,68.47148370,64.54502573
69.03634220,67.20272298,63.91798885
68.72148370,66.47277015,63.57504288
68.59208834,66.15126501,63.44286021
68.37446398,65.72587907,63.21301458
68.21151372,65.29491852,62.98938679
68.06260720,65.05167238,62.79180961
68.28580617,65.29073756,63.08962264
68.57139794,65.74742710,63.34927101
68.53451973,65.78409091,63.29116638
68.54888508,65.79331046,63.31367925
68.61803173,65.90190823,63.38389794
68.81046312,66.17045455,63.61385077
68.92988851,66.36513722,63.71912521
69.02508576,66.65523156,63.83361921
69.17066895,66.89708405,64.01436535
69.19554031,67.08340480,63.97791595
69.37189108,67.31335763,64.21280017
69.43621355,67.44972127,64.29577616
69.55971269,67.73402659,64.36395798
69.69886364,67.92999571,64.51961835
69.78505575,68.12339194,64.56228559
69.97898799,68.41359348,64.80381647
70.05038593,68.58855060,64.89987136
70.18717839,68.87843053,65.00385935
70.26725986,69.07729417,65.11052744
70.34401801,69.27776587,65.22180532
70.45497427,69.53023156,65.32161235
70.58308319,69.78291166,65.49989280
70.66873928,70.00771870,65.54202401
70.63421955,70.06260720,65.56346484
69.99614065,69.17860206,64.92602916
69.23960120,67.71237136,64.18192539
68.89440395,66.99024443,63.83394082
68.83136792,66.81485849,63.75246569
68.67677959,66.46129931,63.49195969
68.46944683,66.08479846,63.33136792
68.33994425,65.74710549,63.18021012
68.47898799,65.88893654,63.30703259
68.78698542,66.41112779,63.62189108
68.95475986,66.69746998,63.76500858
68.94436106,66.73831475,63.74388937
69.02154803,66.84208834,63.79942110
69.18803602,67.11663808,63.98413379
69.34680532,67.37853774,64.11138508
69.50203688,67.71687393,64.27605060
69.65490995,67.97330617,64.45036449
69.74013722,68.24228130,64.47877358
69.93460549,68.54759863,64.65909091
69.97888079,68.77712264,64.78226844
70.14247427,69.06099914,64.96794597
70.22866638,69.27798027,65.06421527
70.41144940,69.61149228,65.28666381
70.45872642,69.86996141,65.36245712
70.57472127,70.12189108,65.53441252
70.68171098,70.40147942,65.64461835
70.74656947,70.59862779,65.72512864
70.86127787,70.92560034,65.90437393
70.96944683,71.18514151,66.06335763
71.11074185,71.46644511,66.19757719
71.19039451,71.70540309,66.35913379
71.02154803,71.53870069,66.19135935
70.31882504,70.57804460,65.53602058
69.86245712,69.73745712,65.06035592
69.81678816,69.54513293,64.98874357
69.76275729,69.37060463,64.89976415
69.60184391,69.10977702,64.74742710
