R,G,B
70.51983276,69.31014151,66.59251715
70.23520583,69.05231561,66.42710120
69.33447684,67.91745283,65.84412521
68.89654803,66.88218268,64.88475557
68.81078473,66.50160806,64.75096484
68.73006003,66.18696398,64.90201544
68.47684391,65.70540309,64.55789022
68.18203259,65.18353345,64.25771870
68.15201544,65.03130360,64.12800172
68.46119211,65.33812178,64.41423671
68.75160806,65.72995283,64.69629074
68.67367067,65.73284734,64.61835334
68.65265866,65.69446827,64.64000858
68.75536021,65.84240995,64.72148370
68.91541595,66.12017581,64.90533877
69.06400086,66.38132504,65.11438679
69.19736278,66.64011578,65.23316895
69.30435249,66.86395798,65.34894940
69.40694683,67.08619211,65.46569468
69.51725986,67.28719983,65.57579331
69.61706690,67.50836192,65.77101201
69.70411664,67.75192967,65.84305317
69.83436964,68.00246569,65.95808319
69.93192539,68.23638508,66.06185678
70.09819897,68.52637221,66.21933962
70.22459262,68.77562178,66.46322899
70.39676244,69.05263722,66.59101630
70.48477702,69.26758148,66.70154374
70.60559605,69.49324614,66.82986707
70.73327616,69.74163808,66.98842196
70.42892367,69.50632504,66.56807461
70.45261578,69.65158662,66.56067753
70.57150515,69.88582762,66.72309177
70.73241852,70.10784734,66.87414237
70.84937822,70.28848628,66.98895798
71.00150086,70.58190395,67.16509434
71.10806175,70.86299314,67.27615780
71.10313036,70.97041166,67.32182676
70.28248285,70.12103345,66.67870926
69.35784734,68.53430532,65.76886792
68.92731561,67.73563465,65.25836192
68.94328902,67.41563036,65.23059605
68.69468268,66.97555746,64.95411664
68.29749142,66.28076758,64.55885506
67.98756432,65.65566038,64.19725557
67.97598628,65.40008576,64.07482847
68.31142796,65.75460978,64.39397513
68.45240137,65.99442539,64.51886792
68.32300600,65.87682247,64.45765437
68.30821184,65.85495283,64.38153945
68.47126930,66.00900515,64.56325043
68.58329760,66.21172813,64.64697684
68.70057890,66.42785163,64.74774871
68.80467410,66.66102058,64.94403945
68.90201544,66.84476844,65.00814751
69.01340051,67.06614494,65.12789451
69.13496998,67.28848628,65.30821184
69.27315609,67.50128645,65.44618353
69.41027015,67.76918954,65.56078473
69.48552744,67.97030446,65.63861492
69.66337907,68.24506861,65.81903945
69.79191681,68.51147084,65.93514151
69.90105060,68.76618782,66.05885506
70.04223842,69.01157804,66.23820755
70.12521441,69.18160377,66.35420240
70.24485420,69.38036021,66.48670669
70.41970412,69.64783448,66.63089623
70.60988422,69.91906089,66.74946398
70.72759434,70.15641081,66.92056175
70.75321612,70.37328473,67.00171527
70.19307461,69.77647942,66.51961835
69.34187393,68.50418096,65.72201973
68.96740995,67.80017153,65.36427959
68.91370069,67.51511578,65.21129931
68.80949828,67.23209691,65.07021870
68.55328045,66.76725986,64.80092196
68.35259434,66.39633362,64.59380360
